題號,難度,題目,選項1,選項2,選項3,選項4,正確答案,正確答案解說,錯誤答案解說
L13Q215,S,使用 AI 作為法院判決參考時，最需注意哪一種風險？,系統延遲,公平性與偏見,GPU 資源耗盡,操作難度,2,司法系統中的 AI 若不公平，將對人權造成重大影響。,
L13Q216,S,對抗性攻擊常針對哪個 AI 架構發動？,協同過濾模型,卷積神經網路（CNN）,決策樹模型,強化學習代理,2,CNN 等深度學習模型易受對抗性輸入干擾，是資安攻擊熱點。,
L13Q217,S,某企業建立 AI 招募系統後發現女性被系統低評分，此問題最可能來自？,硬體設備不足,訓練資料反映社會偏見,使用者操作錯誤,模型未使用 GPU 加速,2,訓練資料反映過往歧視模式，會導致模型學習錯誤價值觀。,
L13Q218,S,導入 AI 系統於醫療診斷，以下哪項不是合規與風險控制的首要重點？,資料來源合法,預測結果具有臨床解釋力,系統部署於私有雲端,應取得病患知情同意,3,雲端部署形式並非首要合規要素，反而知情同意與預測可解釋性更重要。,
L13Q219,S,AI 模型訓練中採用不均衡資料集，最可能導致？,提升模型效能,增加模型壓縮率,決策結果偏頗與不公平,增強資料可視化能力,3,資料不平衡會導致模型學習偏差，使決策不公。,
L13Q220,S,若 AI 模型涉及高風險應用，根據歐盟 AI Act，企業應採取哪些措施？,提高演算效率,提供可解釋性與風險評估報告,移除所有模型參數,強制轉為無人化部署,2,高風險應用應有風險評估、監督機制與解釋性保障。,
L13Q221,S,某 AI 系統能自動分析用戶心理狀態並推送產品，但未告知用戶，違反了哪項倫理原則？,人本導向,隱私保護,運算效率,模型效能最適化,2,使用者未被告知其心理資料被分析，違反隱私與知情權原則。,
L13Q222,S,在設計 AI 系統架構時，哪一種架構最適合應對快速擴展與獨立部署需求？,單體架構,客戶端伺服器架構,微服務架構,網頁伺服器架構,3,微服務架構能讓每個模組獨立開發與部署，提升彈性與可擴展性，特別適合 AI 系統多模組特性。,
L13Q223,S,若模型需嵌入智慧手機端以減少網路延遲，最適部署方式為何？,雲端部署,邊緣部署,本地伺服器部署,GPU 集群部署,2,邊緣部署（Edge deployment）適用低延遲需求，如智慧手機、IoT 裝置。,
L13Q224,S,在 AI 模型部署中，若需提供跨框架（如 PyTorch、TensorFlow）支援，建議使用？,TensorFlow Lite,TorchServe,Flask API,ONNX Runtime,4,ONNX 是跨框架的模型格式，ONNX Runtime 能加速並部署多種來源的模型。,
L13Q225,S,以下哪一個不是監控 AI 模型效能的關鍵指標？,Latency,Accuracy,GPU 溫度,Throughput,3,GPU 溫度雖能反映硬體負載，但不是模型效能的直接指標。,
L13Q226,S,某公司模型更新後出現大量錯誤預測，應該採用哪種策略降低風險？,全面部署新模型,Canary Deployment,災難備援,單元測試,2,Canary Deployment 讓部分流量使用新模型，可逐步評估新版本效能風險。,
L13Q227,S,在 Kubernetes 上部署模型服務時，最常用於自動擴展的元件是？,CronJob,Load Balancer,Horizontal Pod Autoscaler,Docker Swarm,3,HPA 可根據 CPU/記憶體負載自動擴縮實例。,
L13Q228,S,某系統因輸入資料分布改變導致預測失準，這可能是？,資料遺失,模型過擬合,概念漂移（Concept Drift）,模型太小,3,資料特性改變而模型未更新，稱為概念漂移，需重新訓練或調整。,
L13Q229,S,以下哪一種工具適合進行 AI 模型版本控管與追蹤？,Tableau,MLflow,JupyterLab,Apache Kafka,2,MLflow 支援實驗記錄、模型版本控管，是 MLOps 常用工具。,
L13Q230,S,若系統要求高可用性（High Availability），建議的部署策略為？,多區部署 + 負載平衡,單節點部署 + 備份,本地部署 + 隨機抽樣,單機微服務 + 複製儲存,1,多區部署可避免單點故障，搭配負載平衡確保流量分配與不中斷服務。,
L13Q231,S,在 Docker 容器中部署 AI 模型的主要好處為何？,提升準確率,增加模型訓練速度,確保環境一致性與可移植性,減少使用記憶體,3,Docker 可封裝模型與依賴環境，使部署一致、移植方便。,
L13Q232,S,某公司透過 FastAPI 封裝模型後建構 REST API，下一步應？,模型再訓練,建立使用者介面,使用 Postman 測試 API 功能,將 API 上架至 App Store,3,部署後須透過 Postman 等工具測試 API 是否正確運作。,
L13Q233,S,以下哪一項最不適合使用壓力測試（Stress Testing）？,測試高併發下系統反應,預測模型效能表現,測試容器極限負載能力,評估雲端部署穩定性,2,壓力測試主要測硬體與系統效能，與模型精度表現無關。,
L13Q234,S,某企業想自動從 Git 推送部署模型並上雲，最適合工具為？,FastAPI,Jenkins 或 GitHub Actions,Prometheus,Anaconda,2,CI/CD 工具可自動部署、版本控管，減少人為錯誤。,
L13Q235,S,某企業將 AI 模型服務部署於 AWS Lambda，最可能遇到的挑戰是？,訓練效能不足,模型精度不足,冷啟動延遲（cold start latency）,記憶體超配,3,Serverless 部署常見挑戰是首次呼叫時延遲較高（cold start）。,
L13Q236,S,以下哪個不是 TensorFlow Serving 的特點？,可部署 TensorFlow 模型,支援 gRPC 與 REST,自帶模型訓練功能,支援模型版本管理,3,TF Serving 僅供模型部署與服務，不負責訓練。,
L13Q237,S,某團隊欲追蹤 AI 模型預測結果的「真實世界表現」，應建立何種架構？,模型轉譯系統,預測-結果比對管道,雲端前端反向代理,隨機資料抽樣器,2,為追蹤模型預測是否準確，需建立比對實際結果與預測的追蹤架構。,
L13Q238,S,若部署模型於 Kubernetes 並希望根據預測延遲動態擴容，應整合哪一項？,GPU 資源回收,Flask 事件監聽器,自訂指標的 HPA 設定,AWS Lambda,3,K8s HPA 可自訂延遲指標作為擴縮條件。,
L13Q239,S,某醫療機構希望將模型部署在雲端，同時確保病患資料合規，最適合技術為？,AWS S3 存儲,Homomorphic Encryption,深度強化學習,模型剪枝（Pruning）,2,同態加密可在不解密資料的情況下運行模型，保障隱私。,
L13Q240,S,一個模型原先部署於雲端，但後來延遲過高且成本上升，哪項調整較可行？,改為 Flask 開發模型,移至邊緣部署並壓縮模型大小,增加模型參數數量,移除 API 封裝,2,邊緣部署與模型壓縮能降低延遲與成本，特別在常請求場景下。,
L13Q241,S,在進行 A/B 測試時，新版模型表現略優但使用者反饋不佳，應如何處理？,強制全面導入新模型,延長測試時間並觀察更長期指標,停止新模型,提高新模型流量比重至 90%,2,短期表現與使用者習慣可能產生落差，應延長測試期以確保穩定評估。,
L13Q242,S,資料收集的第一步驟是什麼？,資料正規化,模型訓練,資料探索性分析,資料來源確定與收集,4,在 AI 開發流程中，資料來源的確認與資料的收集是第一步。,
L13Q243,S,下列何者屬於非結構化資料？,CSV 檔案,資料表格,影片與音訊檔,SQL 資料庫資料,3,影片與音訊是非結構化資料，因為其內容無法以固定格式儲存。,
L13Q244,S,處理類別資料最常用的方法為？,Z-score 標準化,One-hot Encoding,Min-Max 正規化,PCA 降維,2,One-hot Encoding 是將類別型資料轉為數值向量常用的方法。,
L13Q245,S,哪種方法可用來處理異常值？,填補平均值,Z-score,One-hot Encoding,正規化,2,Z-score 可用於識別異常值，通常超過 3 或小於 -3 為異常值。,
L13Q246,S,在進行 AI 模型訓練前，通常要將資料分為訓練集與？,原始集,測試集,驗證集,編碼集,2,通常分為訓練集與測試集，視需求也可加入驗證集。,
L13Q247,S,若某欄位有大量缺失值，處理方式為何？,直接丟棄整欄,全部填 0,用平均數填補,資料補遺技術,1,若缺失比例太高，通常會捨棄整欄，以避免資料偏差。,
L13Q248,S,下列何者不是資料清洗的步驟？,處理缺失值,異常值辨識,降維處理,資料格式一致化,3,降維處理屬於特徵工程，非資料清洗範疇。,
L13Q249,S,若資料中出現重複項目，應使用何方法處理？,填補缺值,正規化,drop_duplicates(),標準化,3,使用 drop_duplicates() 可有效去除重複資料。,
L13Q250,S,特徵工程的主要目的是什麼？,訓練神經網路,提升模型效能,產生圖片資料,收集原始資料,2,特徵工程是為了讓模型能更有效地學習。,
L13Q251,S,下列哪種方法可進行特徵選擇？,K-Means,SelectKBest,CNN,SVM,2,SelectKBest 是特徵選擇常用工具，搭配特徵評分函數使用。,
L13Q252,S,以下哪一種方法適用於資料正規化？,Z-score,Min-Max Scaling,t-SNE,PCA,2,正規化通常指將數值壓縮至固定區間（如 0~1），用 Min-Max Scaling。,
L13Q253,S,模型選擇時不需考慮下列哪一項？,資料型態,硬體資源,圖表視覺美觀,可解釋性,3,模型選擇關乎效能與資源，而不是圖表外觀。,
L13Q254,S,KNN 模型的主要缺點是？,計算複雜度高,不支援分類任務,不適合小資料集,需事先訓練,1,KNN 在推論階段會對所有資料做距離比較，計算量大。,
L13Q255,S,何者是非監督式學習的例子？,SVM,KNN,K-Means,決策樹,3,K-Means 為分群演算法，不需標記資料屬非監督式學習。,
L13Q256,S,在模型表現不佳時，第一步應該檢查什麼？,訓練資料是否足夠,硬體記憶體容量,雲端資源開啟狀態,模型程式碼長度,1,資料量不足可能導致模型學習不完整，需優先檢查。,
L13Q257,S,情境：你發現訓練資料分布與測試資料落差很大，該怎麼處理？,增加測試資料量,進行資料分層抽樣,改用非監督式模型,刪除測試資料,2,資料分層抽樣可確保資料集的代表性一致，減少分布落差。,
L13Q258,S,若希望模型在影像辨識任務中具有高效特徵抽取能力，應選用？,KNN,CNN,LDA,SVM,2,CNN 是卷積神經網路，具備強大圖像特徵抽取能力。,
L13Q259,S,若特徵數量遠大於樣本數，建議進行？,模型複雜化,特徵選擇與降維,提高學習率,改用深度學習模型,2,高維資料會造成維度災難，應進行特徵選擇或降維以減少過擬合。,
L13Q260,S,下列何者屬於特徵擴充（Feature Extraction）方法？,One-hot Encoding,PCA,填補缺值,刪除重複值,2,PCA 是一種降維方法，可將原始特徵轉換為新特徵，是特徵擴充一種。,
L13Q261,S,下列哪項敘述關於隨機森林模型是正確的？,容易過擬合,單棵樹的效果比整體更佳,是集成學習方法,無法用於分類任務,3,隨機森林為集成學習方法，由多棵決策樹組成，可避免單棵樹過擬合問題。,


